timestamp,prefix,landlord_as,tenant_as,event_type
2026-04-01 00:00:17,197.214.11.0/24,327708,37531,LEASE_OR_HIJACK
2026-04-01 00:00:17,197.214.11.0/24,37531,327708,LEASE_OR_HIJACK
2026-04-01 00:00:24,183.90.187.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:00:24,130.117.183.0/24,174,139482,LEASE_OR_HIJACK
2026-04-01 00:00:24,154.3.78.0/23,174,140171,LEASE_OR_HIJACK
2026-04-01 00:00:24,183.90.187.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:00:54,151.158.211.0/24,138658,136952,LEASE_OR_HIJACK
2026-04-01 00:00:54,16.14.229.0/24,7843,20115,LEASE_OR_HIJACK
2026-04-01 00:00:54,183.90.187.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:00:54,183.90.187.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:00:54,14.102.79.0/24,153489,62631,LEASE_OR_HIJACK
2026-04-01 00:00:54,183.90.187.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:00:54,38.255.31.0/24,174,138244,LEASE_OR_HIJACK
2026-04-01 00:00:54,38.252.239.0/24,174,132978,LEASE_OR_HIJACK
2026-04-01 00:00:54,38.87.58.0/24,174,139482,LEASE_OR_HIJACK
2026-04-01 00:00:54,151.158.211.0/24,136952,138658,LEASE_OR_HIJACK
2026-04-01 00:00:58,183.90.187.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:01:14,151.158.211.0/24,138658,136952,LEASE_OR_HIJACK
2026-04-01 00:01:44,183.90.186.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:01:44,183.90.186.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:01:46,183.90.186.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:01:47,103.36.18.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:01:47,103.36.19.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:01:47,103.36.18.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:01:47,103.36.19.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:01:48,103.36.17.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:01:48,103.36.17.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:01:50,183.90.186.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:01:52,183.90.186.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:01:56,183.90.186.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:01:57,103.36.19.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:01:57,103.36.18.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:02:05,154.211.4.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:02:05,183.90.186.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:02:06,103.36.19.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:02:06,103.36.18.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:02:06,183.90.186.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:02:13,103.36.18.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:02:13,103.36.19.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:02:15,154.211.4.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:02:16,154.211.4.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:02:21,154.211.4.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:02:22,154.211.4.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:02:24,151.158.211.0/24,136952,138658,LEASE_OR_HIJACK
2026-04-01 00:02:27,154.211.4.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:02:33,151.158.211.0/24,138658,136952,LEASE_OR_HIJACK
2026-04-01 00:02:38,216.59.16.0/24,15085,262954,LEASE_OR_HIJACK
2026-04-01 00:02:42,151.158.211.0/24,136952,138658,LEASE_OR_HIJACK
2026-04-01 00:02:49,151.158.211.0/24,138658,136952,LEASE_OR_HIJACK
2026-04-01 00:02:50,16.14.229.0/24,20115,7843,LEASE_OR_HIJACK
2026-04-01 00:02:58,16.14.229.0/24,7843,20115,LEASE_OR_HIJACK
2026-04-01 00:03:41,103.36.19.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:03:41,103.36.18.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:03:42,103.36.19.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:03:42,103.36.18.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:03:42,103.36.18.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:03:42,103.36.19.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:03:43,103.36.18.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:03:43,103.36.19.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:03:43,103.215.77.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:03:47,103.215.77.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:03:52,103.215.77.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:03:58,103.215.77.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:04:01,103.36.19.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:04:01,103.36.18.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:04:05,103.84.55.0/24,136184,136225,LEASE_OR_HIJACK
2026-04-01 00:04:05,103.215.77.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:04:08,103.215.77.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:04:30,16.14.229.0/24,20115,7843,LEASE_OR_HIJACK
2026-04-01 00:04:38,16.14.229.0/24,7843,20115,LEASE_OR_HIJACK
2026-04-01 00:04:51,16.14.229.0/24,20115,7843,LEASE_OR_HIJACK
2026-04-01 00:04:58,16.14.229.0/24,7843,20115,LEASE_OR_HIJACK
2026-04-01 00:05:04,103.36.18.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:05:04,103.36.19.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:05:04,103.36.18.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:05:04,103.36.19.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:05:04,103.36.19.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:05:04,103.36.18.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:05:04,103.36.18.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:05:04,103.36.19.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:05:04,103.36.17.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:05:05,103.36.17.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:05:18,103.36.18.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:05:18,103.36.19.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:05:18,103.36.19.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:05:18,103.36.18.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:05:21,103.36.19.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:05:21,103.36.18.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:05:28,151.158.211.0/24,136952,138658,LEASE_OR_HIJACK
2026-04-01 00:05:29,193.233.49.0/24,207713,210352,LEASE_OR_HIJACK
2026-04-01 00:05:29,193.233.49.0/24,210352,207713,LEASE_OR_HIJACK
2026-04-01 00:05:31,91.227.68.0/24,57494,50928,LEASE_OR_HIJACK
2026-04-01 00:05:35,103.84.55.0/24,136225,136184,LEASE_OR_HIJACK
2026-04-01 00:05:35,91.227.68.0/24,50928,57494,LEASE_OR_HIJACK
2026-04-01 00:05:42,151.158.211.0/24,138658,136952,LEASE_OR_HIJACK
2026-04-01 00:05:44,151.158.211.0/24,136952,138658,LEASE_OR_HIJACK
2026-04-01 00:05:50,16.14.229.0/24,20115,7843,LEASE_OR_HIJACK
2026-04-01 00:05:50,193.233.49.0/24,207713,210352,LEASE_OR_HIJACK
2026-04-01 00:05:51,16.14.229.0/24,7843,20115,LEASE_OR_HIJACK
2026-04-01 00:05:51,16.14.229.0/24,20115,7843,LEASE_OR_HIJACK
2026-04-01 00:05:56,193.233.49.0/24,210352,207713,LEASE_OR_HIJACK
2026-04-01 00:05:58,16.14.229.0/24,7843,20115,LEASE_OR_HIJACK
2026-04-01 00:06:05,193.233.49.0/24,207713,210352,LEASE_OR_HIJACK
2026-04-01 00:06:05,154.211.7.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:06:06,185.103.196.0/24,201021,48678,LEASE_OR_HIJACK
2026-04-01 00:06:07,151.158.211.0/24,138658,136952,LEASE_OR_HIJACK
2026-04-01 00:06:14,185.103.196.0/24,48678,201021,LEASE_OR_HIJACK
2026-04-01 00:06:16,185.103.196.0/24,201021,48678,LEASE_OR_HIJACK
2026-04-01 00:06:21,154.211.7.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:06:21,185.103.196.0/24,48678,201021,LEASE_OR_HIJACK
2026-04-01 00:06:22,154.211.7.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:06:22,103.112.99.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:06:23,103.112.99.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:06:23,154.211.7.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:06:27,103.112.99.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:06:32,103.112.99.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:06:35,185.103.196.0/24,201021,48678,LEASE_OR_HIJACK
2026-04-01 00:06:35,204.54.9.0/24,19905,10846,LEASE_OR_HIJACK
2026-04-01 00:06:35,103.112.99.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:06:47,103.112.99.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:06:47,103.36.19.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:06:47,103.36.18.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:06:55,103.36.18.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:06:55,103.36.19.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:07:05,204.54.9.0/24,10846,19905,LEASE_OR_HIJACK
2026-04-01 00:07:16,103.36.19.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:07:16,103.36.18.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:07:17,103.36.19.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:07:17,103.36.18.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:07:19,193.233.49.0/24,210352,207713,LEASE_OR_HIJACK
2026-04-01 00:07:25,193.233.49.0/24,207713,210352,LEASE_OR_HIJACK
2026-04-01 00:07:26,103.36.19.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:07:26,103.36.18.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:07:28,43.224.227.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:07:33,43.224.227.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:07:35,193.233.49.0/24,210352,207713,LEASE_OR_HIJACK
2026-04-01 00:07:35,43.224.227.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:07:36,103.36.19.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:07:36,103.36.18.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:07:36,103.36.19.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:07:36,103.36.18.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:07:36,103.36.18.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:07:36,103.36.19.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:07:37,103.36.17.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:07:37,103.36.18.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:07:37,103.36.19.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:07:37,103.36.17.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:07:37,193.233.49.0/24,207713,210352,LEASE_OR_HIJACK
2026-04-01 00:07:40,103.36.19.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:07:40,103.36.18.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:07:47,103.36.18.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:07:47,103.36.19.0/24,133623,138965,LEASE_OR_HIJACK
2026-04-01 00:07:47,43.224.227.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:07:47,193.233.49.0/24,210352,207713,LEASE_OR_HIJACK
2026-04-01 00:07:48,103.36.19.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:07:48,103.36.18.0/24,138965,133623,LEASE_OR_HIJACK
2026-04-01 00:07:49,64.52.28.0/22,33659,33287,LEASE_OR_HIJACK
2026-04-01 00:07:52,158.62.215.0/24,33659,33287,LEASE_OR_HIJACK
2026-04-01 00:07:52,43.224.227.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:07:53,43.224.227.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:08:11,16.14.229.0/24,20115,7843,LEASE_OR_HIJACK
2026-04-01 00:08:19,16.14.229.0/24,7843,20115,LEASE_OR_HIJACK
2026-04-01 00:08:44,223.196.97.0/24,55644,55410,LEASE_OR_HIJACK
2026-04-01 00:09:02,193.10.255.0/24,2603,2832,LEASE_OR_HIJACK
2026-04-01 00:09:02,193.10.255.0/24,2832,2603,LEASE_OR_HIJACK
2026-04-01 00:09:05,103.215.78.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:09:11,16.14.229.0/24,20115,7843,LEASE_OR_HIJACK
2026-04-01 00:09:17,103.215.78.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:09:18,103.215.78.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:09:21,16.14.229.0/24,7843,20115,LEASE_OR_HIJACK
2026-04-01 00:09:23,103.215.78.0/24,400619,329611,LEASE_OR_HIJACK
2026-04-01 00:09:35,103.84.55.0/24,136184,136225,LEASE_OR_HIJACK
2026-04-01 00:09:42,87.107.110.0/24,208555,51026,LEASE_OR_HIJACK
2026-04-01 00:09:44,154.211.5.0/24,329611,400619,LEASE_OR_HIJACK
2026-04-01 00:09:52,16.14.229.0/24,20115,7843,LEASE_OR_HIJACK
