prefix,original_landlord,num_transitions,pingpong_count,churn_ratio,tenant_min_hold_sec,tenant_avg_hold_sec
45.155.255.0/24,20200,1925,1923,0.999,0.0,113.19
5.183.116.0/24,18186,710,708,0.9972,0.0,9.35
185.147.34.0/24,931,269,267,0.9926,0.0,543.17
89.37.99.0/24,931,267,265,0.9925,1.0,546.34
178.173.234.0/24,931,267,265,0.9925,0.0,547.72
193.233.49.0/24,207713,133,131,0.985,0.0,133.34
2.58.87.0/24,264409,89,87,0.9775,0.0,154.58
185.233.164.0/24,215898,49,47,0.9592,0.0,108.16
185.3.122.0/24,25233,37,35,0.9459,0.0,384.32
172.110.223.0/24,47154,27,25,0.9259,0.0,366.86
192.165.73.0/24,58343,26,24,0.9231,0.0,1628.08
5.10.220.0/24,47516,23,21,0.913,0.0,31.75
62.233.46.0/24,47122,21,19,0.9048,0.0,0.91
45.143.223.0/24,215845,20,18,0.9,0.0,2.7
89.213.182.0/24,2914,18,16,0.8889,0.0,12.67
217.18.211.0/24,212598,17,15,0.8824,0.0,105.44
93.191.170.0/24,393560,17,15,0.8824,0.0,12.33
193.22.228.0/24,47122,17,15,0.8824,0.0,1.0
163.5.53.0/24,215898,15,13,0.8667,0.0,118.5
185.47.5.0/24,199731,14,12,0.8571,0.0,225.14
