tenant_as,total_holds,unique_prefixes,avg_hold_sec,median_hold_sec,min_hold_sec,max_hold_sec,in_pingpong_chain,typical_hold
400395,963,1,113.19,20.0,0.0,9910.0,True,<1min
213122,403,3,545.74,288.0,0.0,21028.0,True,1-5min
401922,355,1,9.35,6.0,0.0,187.0,True,<1min
210352,67,1,133.34,3.0,0.0,3391.0,True,<1min
6079,50,25,0.5,0.5,0.0,1.0,True,<1min
61596,45,1,154.58,1.0,0.0,4223.0,True,<1min
48678,42,3,109.55,1.0,0.0,940.0,True,<1min
56565,20,2,0.95,1.0,0.0,4.0,True,<1min
35753,19,1,384.32,5.0,0.0,6118.0,True,<1min
23470,14,1,366.86,3.5,0.0,3620.0,True,<1min
57208,13,1,1628.08,24.0,0.0,9259.0,True,<1min
44547,12,1,31.75,1.5,0.0,329.0,True,<1min
216014,10,1,2.7,1.0,0.0,9.0,True,<1min
16509,9,1,12.33,5.0,0.0,40.0,True,<1min
211373,9,1,12.67,0.0,0.0,89.0,True,
203680,7,1,225.14,3.0,0.0,1546.0,True,<1min
48009,7,1,10657.86,115.0,34.0,61592.0,True,1-5min
2,6,3,41996.67,3.0,0.0,125987.0,True,<1min
54454,5,3,27263.4,749.0,749.0,68259.0,True,5-30min
61138,5,1,73.6,66.0,8.0,190.0,True,1-5min
207021,5,1,2635.0,552.0,540.0,10973.0,True,5-30min
205203,5,1,5356.4,2326.0,49.0,19583.0,True,30min-2hr
207328,5,1,3.6,3.0,1.0,9.0,True,<1min
212384,4,2,61908.0,61937.5,15735.0,108022.0,True,2-24hr
400175,3,1,2.67,2.0,0.0,6.0,True,<1min
272524,3,1,13259.0,118.0,28.0,39631.0,True,1-5min
209372,3,1,25409.67,20914.0,11411.0,43904.0,True,2-24hr
215727,3,3,37551.0,37551.0,37551.0,37551.0,False,2-24hr
8772,2,2,2.0,2.0,2.0,2.0,False,<1min
1921,2,1,3074.5,3074.5,279.0,5870.0,True,30min-2hr
60840,2,1,29.0,29.0,21.0,37.0,True,<1min
1257,2,2,60578.0,60578.0,60578.0,60578.0,False,2-24hr
19527,2,1,1.0,1.0,1.0,1.0,True,<1min
3267,1,1,119835.0,119835.0,119835.0,119835.0,False,>24hr
48851,1,1,40.0,40.0,40.0,40.0,False,<1min
196695,1,1,5520.0,5520.0,5520.0,5520.0,False,30min-2hr
7291,1,1,24.0,24.0,24.0,24.0,False,<1min
50611,1,1,30.0,30.0,30.0,30.0,False,<1min
20431,1,1,90.0,90.0,90.0,90.0,False,1-5min
200010,1,1,0.0,0.0,0.0,0.0,False,
33287,1,1,4165.0,4165.0,4165.0,4165.0,False,30min-2hr
