prefix,original_landlord,num_transitions,pingpong_count,churn_ratio,tenant_min_hold_sec,tenant_avg_hold_sec
16.14.229.0/24,7843,8440,8438,0.9998,0.0,33.8
45.155.255.0/24,20200,1925,1923,0.999,0.0,113.19
103.84.55.0/24,136184,1232,1230,0.9984,1.0,142.98
185.233.170.0/24,28885,924,922,0.9978,0.0,5.48
188.65.30.0/24,28885,750,748,0.9973,0.0,11.61
5.183.116.0/24,18186,710,708,0.9972,0.0,9.35
151.158.211.0/24,138658,692,690,0.9971,0.0,387.76
185.186.205.0/24,28885,656,654,0.997,0.0,11.75
188.65.24.0/24,28885,612,610,0.9967,0.0,12.38
194.114.139.0/24,23961,573,571,0.9965,0.0,275.69
194.156.163.0/24,23961,571,569,0.9965,0.0,276.71
81.29.142.0/24,210259,419,417,0.9952,0.0,4.55
216.82.234.0/24,32482,395,393,0.9949,0.0,22.4
109.196.167.0/24,212247,315,313,0.9937,0.0,5.56
103.36.19.0/24,138965,278,276,0.9928,0.0,130.39
103.36.18.0/24,138965,278,276,0.9928,0.0,130.61
185.103.196.0/24,201021,277,275,0.9928,0.0,121.04
185.147.34.0/24,931,269,267,0.9926,0.0,543.17
89.37.99.0/24,931,267,265,0.9925,1.0,546.34
38.255.61.0/24,931,267,265,0.9925,0.0,547.23
