original_landlord,prefixes_leased,unique_tenants,avg_transitions,avg_churn_ratio,pct_returned,avg_min_hold_sec,avg_median_hold_sec
3491,195,195,1.0615,0.0043,100.0,560.7692,560.7949
4808,186,186,1.9624,0.0,3.8,17656.5054,17656.5054
401152,171,327,18.8889,0.8156,8.8,19.6667,105.2164
15169,109,109,5.3211,0.402,34.9,24525.2752,27161.1789
174,66,66,7.0455,0.4503,6.1,4904.0303,5883.5227
22908,66,66,14.8182,0.8632,0.0,0.4091,4.7121
37303,59,59,1.1017,0.0121,100.0,0.0,0.0
4811,51,51,1.8627,0.1438,100.0,40539.2157,61520.8922
4847,45,45,3.2444,0.374,75.6,17311.6,47029.7333
23724,43,43,3.0,0.3333,100.0,9863.6047,58726.0233
17621,42,42,2.0,0.0,0.0,16420.0,16420.0
9802,42,42,2.0,0.0,0.0,16429.8571,16429.8571
54339,38,38,3.8421,0.4605,0.0,0.0,0.4605
4812,37,37,2.9459,0.3243,100.0,3222.5405,34492.0135
58466,33,33,1.1515,0.0,84.9,56555.8788,56555.8788
327708,33,38,66.4848,0.8197,51.5,2701.303,4254.697
29702,24,24,36.8333,0.9444,0.0,0.875,6759.6667
18756,23,23,1.3478,0.058,100.0,15452.0,15794.9565
45706,21,21,7.3333,0.6778,66.7,0.0,7.1667
55410,20,20,8.15,0.5282,45.0,10169.3,11402.125
329611,19,19,135.2632,0.9568,84.2,0.0,4.7895
28258,17,17,1.0,0.0,100.0,30776.0,30776.0
30035,16,16,3.0,0.3333,100.0,43.5,14588.25
45102,16,16,2.125,0.1875,100.0,1012.8125,5072.4062
137535,15,15,12.4667,0.2453,100.0,319.2,320.7333
29632,14,14,7.7143,0.5619,14.3,1518.1429,1776.4286
36903,14,14,25.4286,0.9208,100.0,0.0,5.6786
138421,13,13,2.0,0.0,0.0,16449.0,16449.0
931,13,13,266.2308,0.9925,100.0,0.7692,287.9231
267221,12,12,5.0833,0.4634,25.0,24717.0,47201.3333
61587,12,12,3.8333,0.3778,66.7,24561.1667,24588.9583
55644,11,11,6.1818,0.1692,90.9,6360.5455,6361.4545
33659,11,11,1.5455,0.0909,100.0,4126.8182,10405.9091
31898,10,12,4.1,0.3785,90.0,255.6,553.1
15399,10,10,16.4,0.2859,80.0,1405.3,1411.0
17561,10,10,2.6,0.2666,100.0,571.9,10356.65
205019,10,10,8.0,0.75,0.0,637.0,18868.5
9341,9,9,5.8889,0.3259,100.0,0.5556,1.5556
56,9,9,9.0,0.4786,100.0,2.2222,69.1111
58519,9,9,3.0,0.3333,100.0,10325.3333,58943.7778
21887,9,9,2.7778,0.2963,100.0,0.2222,0.6667
4538,8,8,1.75,0.125,100.0,23331.625,33339.25
136897,8,8,24.0,0.915,0.0,0.0,1.3125
1516,8,8,33.75,0.9269,100.0,0.0,0.6875
396544,8,18,2.375,0.0156,0.0,7153.125,24424.4375
9304,8,8,1.0,0.0,100.0,13.625,13.625
2914,8,8,19.625,0.793,12.5,7.25,7.9375
133199,8,8,8.75,0.7369,50.0,0.25,4.6875
37027,7,7,102.1429,0.9799,100.0,0.0,9.1429
12008,7,10,59.4286,0.9369,100.0,0.4286,15.5714
17574,7,7,4.7143,0.457,100.0,31.2857,2477.5714
133119,7,7,2.0,0.0,0.0,16427.0,16427.0
7029,7,7,2.4286,0.1143,71.4,26.5714,42.4286
18390,7,7,3.0,0.3333,100.0,1.0,293.5
46887,7,7,10.0,0.7727,85.7,18.8571,2082.7857
37287,7,7,1.0,0.0,100.0,0.0,0.0
7545,7,7,9.1429,0.4987,85.7,13575.0,30752.6429
402236,7,7,4.0,0.5,0.0,0.0,0.5
2906,7,7,1.2857,0.0,71.4,36552.2857,36552.2857
24429,6,6,1.0,0.0,100.0,627.0,627.0
19905,6,6,18.8333,0.6052,50.0,3548.6667,3976.8333
138950,6,6,1.0,0.0,100.0,56547.0,56547.0
328847,6,6,8.0,0.75,0.0,0.0,2.0833
9808,6,6,22.0,0.9091,0.0,0.0,1.0
28885,6,6,492.3333,0.887,0.0,0.6667,7.3333
55933,6,6,4.5,0.1515,83.3,1182.5,1182.8333
16399,5,5,1.0,0.0,100.0,39820.0,39820.0
27064,5,6,61.8,0.8851,100.0,0.0,0.6
8772,5,5,4.8,0.4724,80.0,0.0,1461.4
1921,5,5,10.4,0.8067,0.0,550.8,758.5
149,5,5,9.0,0.7778,100.0,0.0,0.0
21859,5,5,1.2,0.0,80.0,11353.8,11353.8
48347,5,5,13.6,0.8,0.0,0.8,4096.7
25820,5,5,1.0,0.0,100.0,1.2,1.2
136617,5,5,5.8,0.6457,100.0,0.0,8.5
11409,5,5,15.4,0.8679,100.0,0.0,6.0
133731,5,5,10.2,0.4293,100.0,19927.2,24772.1
11814,4,4,2.0,0.0,0.0,745.0,745.0
37236,4,4,5.5,0.3875,0.0,1767.5,2148.125
212238,4,4,23.5,0.7101,100.0,194.25,8353.75
11342,4,4,2.5,0.25,50.0,1921.5,6219.375
269699,4,4,1.0,0.0,100.0,0.0,0.0
41616,4,4,2.0,0.0,0.0,145160.25,145160.25
3356,4,4,8.75,0.6074,25.0,12839.5,12842.125
328543,4,6,12.75,0.6613,25.0,2.25,3435.5
212628,4,4,1.5,0.0,50.0,320.25,320.25
212713,4,4,40.5,0.9485,0.0,0.0,7.375
28160,4,4,15.0,0.8667,100.0,2.0,4.0
27138,4,5,12.25,0.7355,50.0,0.0,1.625
25773,4,4,3.0,0.25,0.0,20.0,18726.875
23005,4,4,1.75,0.0,25.0,6601.5,6601.5
19871,4,4,12.75,0.5698,25.0,0.5,1.25
269314,4,4,1.0,0.0,100.0,11152.75,11152.75
17072,4,4,7.0,0.5938,0.0,8870.5,27766.375
4466,4,4,1.0,0.0,100.0,31.0,31.0
9929,4,4,4.25,0.5,25.0,27.0,12819.0
207021,4,4,3.0,0.3333,100.0,279.0,3074.5
4816,4,4,1.5,0.0833,100.0,44981.5,57152.375
396566,4,4,1.0,0.0,0.0,7897.0,7897.0
63117,4,4,11.0,0.8182,100.0,1.0,3.0
61785,4,4,30.0,0.9332,100.0,0.0,5.5
60024,4,4,3.0,0.25,0.0,17247.5,25861.25
834,4,4,15.5,0.8349,0.0,1.25,344.75
58349,4,4,13.5,0.8448,0.0,0.0,3.875
9541,4,4,41.75,0.4878,75.0,28460.75,28463.25
138415,4,4,11.75,0.6083,25.0,424.5,756.5
