tenant_as,total_holds,unique_prefixes,avg_hold_sec,median_hold_sec,min_hold_sec,max_hold_sec,in_pingpong_chain,typical_hold
20115,4225,6,33.79,31.0,0.0,252.0,True,<1min
7385,1743,173,1481.68,7.0,0.0,9923.0,True,<1min
213122,1737,13,548.65,288.0,0.0,21028.0,True,1-5min
400619,1293,19,222.37,5.0,0.0,100656.0,True,<1min
37531,984,20,1002.08,2.0,0.0,55942.0,True,<1min
400395,963,1,113.19,20.0,0.0,9910.0,True,<1min
15679,687,4,11.93,9.0,0.0,176.0,True,<1min
136225,616,1,142.98,119.0,1.0,619.0,True,1-5min
57695,583,4,630.44,193.0,0.0,63587.0,True,1-5min
22011,489,66,41.96,3.0,0.0,14210.0,True,<1min
11798,466,156,260.52,67.0,0.0,78521.0,True,1-5min
204974,462,1,5.48,5.0,0.0,176.0,True,<1min
29750,442,24,7993.31,7197.0,0.0,14398.0,True,30min-2hr
12555,368,2,4.98,1.0,0.0,62.0,True,<1min
15399,361,7,11.05,9.0,0.0,90.0,True,<1min
401922,355,1,9.35,6.0,0.0,187.0,True,<1min
136952,346,1,387.76,65.5,0.0,64305.0,True,1-5min
206350,328,1,11.75,9.0,0.0,226.0,True,<1min
19527,309,109,19792.88,41.0,0.0,158827.0,True,<1min
133623,278,2,130.5,6.5,0.0,13838.0,True,<1min
48678,256,7,120.2,1.0,0.0,952.0,True,<1min
19905,223,9,620.19,16.0,0.0,17753.0,True,<1min
31713,201,195,547.23,173.0,1.0,3659.0,True,1-5min
12130,198,1,22.4,2.0,0.0,639.0,True,<1min
6713,185,14,7.57,5.0,0.0,33.0,True,<1min
262493,173,3,61.82,2.0,0.0,927.0,True,<1min
4808,170,85,52526.78,45357.5,8071.0,107590.0,True,2-24hr
327708,169,62,292.84,0.0,0.0,7568.0,True,
1637,154,10,15.56,1.0,0.0,1779.0,True,<1min
3,151,6,61.73,1.0,0.0,2093.0,True,<1min
272809,125,19,1441.91,4.0,0.0,54015.0,True,<1min
23724,109,109,16418.4,16418.0,16417.0,16427.0,False,2-24hr
17621,104,66,43063.95,56570.0,159.0,107587.0,True,2-24hr
7181,104,1,813.86,3.0,0.0,16218.0,True,<1min
140227,101,15,111.82,7.0,0.0,3328.0,True,<1min
6412,98,4,326.76,5.5,0.0,3917.0,True,<1min
6079,98,49,216.12,1.0,0.0,18132.0,True,<1min
36913,97,3,1745.63,8.0,0.0,24494.0,True,<1min
215731,96,8,4.59,1.0,0.0,142.0,True,<1min
2832,91,1,0.03,0.0,0.0,1.0,True,
266152,91,17,15.42,3.0,0.0,82.0,True,<1min
55644,86,20,9959.72,27.0,0.0,101492.0,True,<1min
37027,86,10,2933.51,22.0,0.0,27554.0,True,<1min
139938,84,21,2320.25,7.5,0.0,27769.0,True,<1min
24440,84,3,7.38,5.0,0.0,26.0,True,<1min
199524,83,4,9.94,4.0,0.0,58.0,True,<1min
206061,81,4,31.9,7.0,0.0,206.0,True,<1min
269162,77,1,65.48,1.0,0.0,1596.0,True,<1min
4847,73,73,16417.41,16417.0,16417.0,16418.0,False,2-24hr
647,71,1,9.97,2.0,0.0,112.0,True,<1min
9808,70,3,5.94,2.0,0.0,62.0,True,<1min
134175,70,2,5.29,2.0,0.0,26.0,True,<1min
30277,67,1,1.9,1.0,0.0,8.0,True,<1min
210352,67,1,133.34,3.0,0.0,3391.0,True,<1min
24400,66,6,10.91,1.0,0.0,102.0,True,<1min
37287,63,3,1506.27,1.0,0.0,89024.0,True,<1min
266541,62,4,296.89,5.5,0.0,2630.0,True,<1min
44709,61,2,530.64,6.0,0.0,11269.0,True,<1min
211439,60,5,753.57,0.5,0.0,10089.0,True,<1min
262675,59,17,9922.2,5.0,0.0,73811.0,True,<1min
8772,55,14,6623.8,23.0,0.0,120072.0,True,<1min
18013,55,1,273.24,3.0,0.0,3581.0,True,<1min
18786,54,3,1841.17,1.0,0.0,33077.0,True,<1min
4811,52,52,16425.58,16420.0,16420.0,16449.0,False,2-24hr
131284,52,4,806.92,2.5,0.0,39633.0,True,<1min
55933,50,9,9319.34,8.5,0.0,90963.0,True,<1min
37440,50,7,1449.92,1.0,0.0,20851.0,True,<1min
35819,50,3,1633.56,2.0,0.0,80844.0,True,<1min
18676,48,1,10.27,5.0,0.0,43.0,True,<1min
12008,48,2,365.6,3.0,0.0,8458.0,True,<1min
13979,47,1,2100.38,5.0,0.0,89595.0,True,<1min
265290,47,1,127.32,5.0,0.0,3144.0,True,<1min
391,45,9,434.09,44.0,0.0,3763.0,True,<1min
138421,45,22,54685.4,10483.0,2.0,107558.0,True,2-24hr
61596,45,1,154.58,1.0,0.0,4223.0,True,<1min
13591,44,1,9.14,3.5,0.0,106.0,True,<1min
9308,42,42,16429.86,16429.0,16429.0,16447.0,False,2-24hr
11049,41,5,46.76,6.0,0.0,351.0,True,<1min
26857,40,10,18429.75,18868.5,637.0,35345.0,True,2-24hr
55410,39,11,9199.21,14.0,0.0,78316.0,True,<1min
61832,39,3,186.15,2.0,0.0,2401.0,True,<1min
203,38,6,8957.08,2.5,0.0,84976.0,True,<1min
10753,38,24,9933.37,4380.0,0.0,139612.0,True,30min-2hr
37616,37,7,4045.32,2.0,0.0,27528.0,True,<1min
8697,37,3,150.62,1.0,0.0,1801.0,True,<1min
133861,37,8,8652.0,2.0,0.0,113149.0,True,<1min
269127,37,1,210.97,5.0,0.0,2497.0,True,<1min
17025,36,6,548.58,16.5,2.0,3165.0,True,<1min
263506,36,1,3051.14,1.0,0.0,81379.0,True,<1min
136958,36,36,56556.56,56564.0,56296.0,56564.0,False,2-24hr
749,36,6,12.89,1.0,0.0,234.0,True,<1min
22884,35,5,7950.51,13.0,0.0,62191.0,True,<1min
37447,33,2,4417.82,1.0,0.0,111379.0,True,<1min
395848,32,16,14588.25,14592.0,31.0,29133.0,True,2-24hr
48282,32,4,9037.59,2401.5,0.0,34928.0,True,30min-2hr
367,32,1,1496.22,6.5,0.0,25506.0,True,<1min
263047,32,1,4627.81,1.0,0.0,122971.0,True,<1min
138965,31,1,1.29,0.0,0.0,8.0,True,
38757,31,9,25.68,1.0,0.0,232.0,True,<1min
402257,31,4,1048.52,88.0,1.0,7198.0,True,1-5min
16509,30,2,3353.4,5.5,0.0,83261.0,True,<1min
36998,30,2,9.03,1.5,0.0,69.0,True,<1min
636,30,6,0.23,0.0,0.0,1.0,True,
210727,27,1,2053.93,0.0,0.0,53857.0,True,
64160,27,4,5.52,3.0,0.0,21.0,True,<1min
207021,26,5,5184.58,561.0,540.0,75031.0,True,5-30min
266525,26,1,1854.58,5.5,0.0,47943.0,True,<1min
21859,25,4,2958.52,242.0,0.0,39255.0,True,1-5min
26337,25,3,971.36,2.0,0.0,8153.0,True,<1min
32884,24,6,105.79,1.5,0.0,2479.0,True,<1min
137823,23,2,0.3,0.0,0.0,1.0,True,
2648,23,2,151.39,7.0,0.0,1185.0,True,<1min
134963,23,14,6351.96,431.0,0.0,14448.0,True,5-30min
208290,23,2,636.17,2.0,0.0,7087.0,True,<1min
